rae,Research Assessment Exercise
ref_2021_uoa,REF 2021 Unit of Assessment
ref_2021_mp,REF 2021 Main Panel
ref_2014_uoa,REF 2014 Unit of Assessment
ref_2014_mp,REF 2014 Main Panel
ref_2014_uoa_ms,REF 2014 Unit of Assessment Multiple Submission
hesa_cc_v1,HESA Cost Centre v1
hesa_cc_v2,HESA Cost Centre v2
hesa_cc_grp_v1,HESA Cost Centre Group v1
hesa_cc_grp_v2,HESA Cost Centre Group v2
tier_1_col,Tier 1 College Level
tier_2_disc,Tier 2 Discipline Level
tier_3_sub_disc,Tier 3 Sub-Discipline Level
tier_4_sits,Tier 4 SITS Level
jacs_3_sg,JACS 3 Subject Group
jacs_3_sub,JACS 3 Subject
jacs_3_ds,JACS 3 Detailed Subject
t1_type,T1 Type
t1_div,T1 Division
t1_coll,T1 College
t1_disc,T1 Discipline
t1_sub_disc,T1 Sub-Discipline
t1_bud_cent,T1 Budget Centre
hecos,HECoS Simple Vocabulary
cah_1_v1.2,Common Aggregation Hierarchy Level 1 v1.2
cah_2_v1.2,Common Aggregation Hierarchy Level 2 v1.2
cah_3_v1.2,Common Aggregation Hierarchy Level 3 v1.2
pac_dept,PAC Departments
exe_ins,University of Exeter Institutes
wur,World University Rankings
the,Times Higher Education World University Rankings subject areas
qs_wur_fa,QS World University Rankings faculty area
qs_wur_sa,QS World University Rankings subject area
asjc,Scopus' All Science Journal Classification
hesa_res_inc_cat,HESA Research Income Category
t1_fund_source,HESA Research Income Category in T1
fundsource,HESA Research Income categories used in reporting
